DATE,vwretd,vwretx,usdval
19620131,-0.036147,-0.037488,377977327.00
19620228,0.019512,0.015252,364536184.00
19620330,-0.004688,-0.006113,371515292.00
19620430,-0.063435,-0.064212,369195911.00
19620531,-0.084620,-0.089763,345833305.00
19620629,-0.082615,-0.084336,315020366.00
19620731,0.065438,0.064129,287198521.00
19620831,0.023417,0.017888,333071603.00
19620928,-0.050156,-0.051784,339134675.00
19621031,0.002184,0.000427,321697468.00
19621130,0.110137,0.102924,321754697.00
19621231,0.011865,0.010056,354926308.00
19630131,0.051848,0.050475,360071461.00
19630228,-0.021931,-0.026608,378311036.00
19630329,0.032917,0.031233,368287382.00
19630430,0.047439,0.046435,380237995.00
19630531,0.020051,0.014726,398303425.00
19630628,-0.018030,-0.019459,404328648.00
19630731,-0.001718,-0.002995,396730324.00
19630830,0.052684,0.048035,395708988.00
19630930,-0.011898,-0.013317,414732898.00
19631031,0.027708,0.026276,409193779.00
19631129,-0.005549,-0.011692,419919837.00
19631231,0.021736,0.019978,411888749.00
19640131,0.025790,0.024731,424279026.00
19640228,0.017207,0.012653,437505595.00
19640331,0.017636,0.015967,444221262.00
19640430,0.004608,0.003672,451868420.00
19640528,0.017403,0.012531,455566665.00
19640630,0.015080,0.013413,461244649.00
19640731,0.020118,0.019127,467603478.00
19640831,-0.011266,-0.015575,477336620.00
19640930,0.030480,0.028792,470090113.00
19641030,0.008869,0.007730,483837484.00
19641130,0.003089,-0.002673,487946514.00
19641231,0.003690,0.001939,484359224.00
19650129,0.038646,0.037663,489859244.00
19650226,0.006946,0.002634,508506032.00
19650331,-0.009715,-0.011428,510083429.00
19650430,0.033652,0.032737,505709900.00
19650528,-0.004350,-0.009102,522757200.00
19650630,-0.051868,-0.053591,518626471.00
19650730,0.016759,0.015871,490936823.00
19650831,0.030883,0.026133,499069826.00
19650930,0.031952,0.030357,512198155.00
19651029,0.029271,0.028212,527724704.00
19651130,0.003065,-0.002961,542330132.00
19651231,0.013545,0.011976,540479178.00
19660131,0.012122,0.011231,551571721.00
19660228,-0.008621,-0.013014,558855022.00
19660331,-0.020923,-0.022746,551841706.00
19660429,0.024837,0.023854,538969236.00
19660531,-0.052539,-0.057483,551651981.00
19660630,-0.010317,-0.012063,521129014.00
19660729,-0.012870,-0.013831,515312264.00
19660831,-0.075388,-0.080712,508676194.00
19660930,-0.006958,-0.008695,467448885.00
19661031,0.042294,0.041171,463631229.00
19661130,0.017516,0.010606,482783232.00
19661230,0.006210,0.004409,488292907.00
19670131,0.085530,0.084077,495443985.00
19670228,0.010945,0.006257,537592996.00
19670331,0.043384,0.041582,541516144.00
19670428,0.041609,0.040697,563913102.00
19670531,-0.039293,-0.044217,585810303.00
19670630,0.026903,0.025341,559703674.00
19670731,0.049189,0.048277,573103663.00
19670831,-0.006282,-0.011073,600794563.00
19670929,0.034286,0.032875,592609411.00
19671031,-0.027433,-0.028650,611091965.00
19671130,0.007902,0.002565,594745488.00
19671229,0.033699,0.032203,595924989.00
19680131,-0.036330,-0.037829,626521164.00
19680229,-0.033624,-0.038107,602397319.00
19680329,0.005116,0.003740,580027619.00
19680430,0.094148,0.092730,581172847.00
