KYTREASNOX,MCALDT,TMYTM
2000001,01/31/1963,2.9291468024
2000001,02/28/1963,2.8427419496
2000001,03/29/1963,2.8528107954
2000001,04/30/1963,2.8575469467
2000001,05/31/1963,2.9597052458
2000001,06/28/1963,2.9849937538
2000001,07/31/1963,3.0563925061
2000001,08/30/1963,3.2646074175
2000001,09/30/1963,3.4319642597
2000001,10/31/1963,3.285100477
2000001,11/29/1963,3.2798442313
2000001,12/31/1963,3.4826185053
2000001,01/31/1964,3.4476573147
2000001,02/28/1964,3.534142502
2000001,03/31/1964,3.52834668
2000001,04/30/1964,3.3562984702
2000001,05/28/1964,3.2647897226
2000001,06/30/1964,3.4114327207
2000001,07/31/1964,3.2590936806
2000001,08/31/1964,3.2639946376
2000001,09/30/1964,3.5234605628
2000001,10/30/1964,3.42687478
2000001,11/30/1964,3.5743191908
2000001,12/31/1964,3.4268275459
2000001,01/29/1965,3.8843433385
2000001,02/26/1965,3.8493164242
2000001,03/31/1965,3.7876912516
2000001,04/30/1965,3.8590951356
2000001,05/28/1965,3.7323429468
2000001,06/30/1965,3.7828371407
2000001,07/30/1965,3.767780664
2000001,08/31/1965,3.7826202497
2000001,09/30/1965,3.9862528701
2000001,10/29/1965,3.8491503359
2000001,11/30/1965,3.7978882398
2000001,12/31/1965,4.2660622841
2000001,01/31/1966,4.5306140154
2000001,02/28/1966,4.4593736102
2000001,03/31/1966,4.4184177072
2000001,04/29/1966,4.6022039072
2000001,05/31/1966,4.4591296328
2000001,06/30/1966,4.5204669437
2000001,07/29/1966,4.5464582804
2000001,08/31/1966,4.7237476118
2000001,09/30/1966,5.1567398819
2000001,10/31/1966,4.774632183
2000001,11/30/1966,4.2660209249
2000001,12/30/1966,4.4698852308
2000001,01/31/1967,4.5456378392
2000001,02/28/1967,4.4846149659
2000001,03/31/1967,4.0623135966
2000001,04/28/1967,3.4526053317
2000001,05/31/1967,3.2487760431
2000001,06/30/1967,3.706509936
2000001,07/31/1967,3.808251111
2000001,08/31/1967,3.8589254999
2000001,09/29/1967,4.1543669343
2000001,10/31/1967,4.1487935919
2000001,11/30/1967,4.1897510132
2000001,12/29/1967,4.3429065747
2000001,01/31/1968,4.8070670602
2000001,02/29/1968,4.6731432214
2000001,03/29/1968,4.8516407843
2000001,04/30/1968,5.4877689742
2000001,05/31/1968,5.3855475179
2000001,06/28/1968,5.2848592472
2000001,07/31/1968,5.258600541
2000001,08/30/1968,4.9378278278
2000001,09/30/1968,5.1618368447
2000001,10/31/1968,5.4110033804
2000001,11/29/1968,4.8363486357
2000001,12/31/1968,6.098592552
2000001,01/31/1969,5.9986543865
2000001,02/28/1969,5.6405707419
2000001,03/28/1969,5.3612177419
2000001,04/30/1969,6.124564995
2000001,05/29/1969,5.8448265292
2000001,06/30/1969,6.4813854286
2000001,07/31/1969,6.914714255
2000001,08/29/1969,6.660377649
2000001,09/30/1969,6.9446656427
2000001,10/31/1969,6.6846473289
2000001,11/28/1969,6.4468330597
2000001,12/31/1969,6.7872668527
2000001,01/30/1970,7.7282633348
2000001,02/27/1970,6.3034725317
2000001,03/31/1970,6.4145144694
2000001,04/30/1970,6.5119190855
2000001,05/29/1970,6.3085936568
2000001,06/30/1970,5.930496292
2000001,07/31/1970,5.8952725967
2000001,08/31/1970,6.1088089265
2000001,09/30/1970,5.818849747
2000001,10/30/1970,5.2738514236
2000001,11/30/1970,4.4492330618
2000001,12/31/1970,4.4390866915
2000001,01/29/1971,4.0623135966
2000001,02/26/1971,3.2288805882
2000001,03/31/1971,3.406361253
2000001,04/30/1971,3.6760076048
2000001,05/28/1971,3.8696447341
2000001,06/30/1971,5.0192898582
2000001,07/30/1971,5.0603618791
2000001,08/31/1971,4.4082643603
2000001,09/30/1971,4.5306140154
2000001,10/29/1971,3.9915726772
2000001,11/30/1971,3.8283820771
2000001,12/31/1971,3.3506178776
2000001,01/31/1972,3.1269531552
2000001,02/29/1972,3.1470938786
