caldt,vwretd,vwretx,spindx
19630131,0.050367,0.048957,66.20
19630228,-0.024189,-0.029164,64.29
19630329,0.036581,0.035156,66.57
19630430,0.049070,0.048177,69.80
19630531,0.019674,0.013844,70.80
19630628,-0.018605,-0.019806,69.37
19630731,-0.001821,-0.003131,69.13
19630830,0.053466,0.048496,72.50
19630930,-0.010402,-0.011579,71.70
19631031,0.034825,0.033290,74.01
19631129,-0.004487,-0.011085,73.23
19631231,0.026065,0.024651,75.02
19640131,0.027391,0.026373,77.04
19640228,0.017015,0.012171,77.80
19640331,0.017232,0.015814,78.98
19640430,0.006192,0.005297,79.46
19640528,0.016815,0.011460,80.37
19640630,0.018084,0.016779,81.69
19640731,0.018910,0.017953,83.18
19640831,-0.011621,-0.016285,81.83
19640930,0.030399,0.029022,84.18
19641030,0.008745,0.007566,84.86
19641130,0.001598,-0.004588,84.42
19641231,0.005228,0.003803,84.75
19650129,0.034791,0.033837,87.56
19650226,0.003746,-0.000853,87.43
19650331,-0.012213,-0.013685,86.16
19650430,0.035612,0.034769,89.11
19650528,-0.003122,-0.008354,88.42
19650630,-0.046880,-0.048367,84.12
19650730,0.014486,0.013678,85.25
19650831,0.027560,0.022473,87.17
19650930,0.033366,0.032034,89.96
19651029,0.028812,0.027737,92.42
19651130,-0.003821,-0.010306,91.61
19651231,0.010349,0.009059,92.43
19660131,0.005705,0.004874,92.88
19660228,-0.012750,-0.017548,91.22
19660331,-0.023041,-0.024608,89.23
19660429,0.022158,0.021250,91.06
19660531,-0.049140,-0.054645,86.13
19660630,-0.014380,-0.015904,84.74
19660729,-0.012129,-0.013039,83.60
19660831,-0.071650,-0.077487,77.10
19660930,-0.006244,-0.007692,76.56
19661031,0.048333,0.047244,80.20
19661130,0.011223,0.003741,80.45
19661230,0.000326,-0.001089,80.33
19670131,0.079215,0.077723,86.61
19670228,0.007514,0.002420,86.78
19670331,0.041137,0.039544,90.20
19670428,0.043371,0.042544,94.01
19670531,-0.046810,-0.052314,89.08
19670630,0.019319,0.018015,90.64
19670731,0.046454,0.045623,94.75
19670831,-0.006824,-0.012197,93.64
19670929,0.033815,0.032597,96.71
19671031,-0.027448,-0.028701,93.90
19671130,0.006435,0.000533,94.00
19671229,0.027079,0.025857,96.47
19680131,-0.041875,-0.043523,92.24
19680229,-0.026900,-0.031973,89.36
19680329,0.009696,0.008585,90.20
19680430,0.084092,0.082642,97.59
19680531,0.016374,0.011104,98.68
19680628,0.009916,0.008695,99.58
19680730,-0.017444,-0.018664,97.74
19680830,0.016415,0.011259,98.86
19680930,0.039351,0.038210,102.67
19681031,0.008587,0.006751,103.41
19681129,0.053580,0.048659,108.37
19681231,-0.040826,-0.042141,103.86
19690131,-0.007547,-0.008612,103.01
19690228,-0.042321,-0.047384,98.13
19690328,0.034847,0.033599,101.51
19690430,0.022771,0.021449,103.69
19690529,0.003854,-0.001862,103.46
19690630,-0.054357,-0.055686,97.71
19690731,-0.058632,-0.059919,91.83
19690829,0.045728,0.040180,95.51
19690930,-0.023941,-0.025285,93.12
19691031,0.046900,0.044661,97.24
19691128,-0.029152,-0.034433,93.81
19691231,-0.016922,-0.018365,92.06
19700130,-0.075398,-0.076809,85.02
19700227,0.059521,0.053615,89.50
19700331,0.002806,0.001232,89.63
19700430,-0.088831,-0.090035,81.52
19700529,-0.054689,-0.061112,76.55
19700630,-0.049032,-0.050902,72.72
19700731,0.075523,0.073219,78.05
19700831,0.049778,0.043782,81.52
19700930,0.034702,0.033021,84.21
19701030,-0.009032,-0.011639,83.25
19701130,0.054387,0.048836,87.20
19701231,0.058684,0.057358,92.15
19710129,0.042828,0.041500,95.88
19710226,0.013317,0.008152,96.75
19710331,0.039068,0.037624,100.31
19710430,0.036965,0.035789,103.95
19710528,-0.037150,-0.042138,99.63
19710630,0.002439,0.001061,99.70
19710730,-0.040827,-0.041901,95.58
19710831,0.042036,0.036549,99.03
19710930,-0.005038,-0.006387,98.34
19711029,-0.040129,-0.042015,94.23
19711130,0.002898,-0.002029,93.99
19711231,0.087880,0.086486,102.09
19720131,0.019088,0.017814,103.94
19720229,0.030221,0.025416,106.57
19720330,0.007315,0.006132,107.20
19720428,0.005476,0.004658,107.67
19720531,0.022019,0.016763,109.53
19720630,-0.020156,-0.021378,107.14
19720731,0.003245,0.002126,107.39
19720831,0.039425,0.034649,111.09
19720929,-0.003277,-0.004516,110.55
19721031,0.010878,0.009503,111.58
19721130,0.050297,0.045173,116.67
19721229,0.013663,0.012622,118.05
19730131,-0.016752,-0.018044,116.03
19730228,-0.033818,-0.038229,111.68
19730330,-0.001093,-0.002089,111.52
19730430,-0.040064,-0.041236,106.97
19730531,-0.013950,-0.019002,104.95
19730629,-0.005178,-0.006522,104.26
19730731,0.039128,0.037679,108.22
19730831,-0.031544,-0.036505,104.25
19730928,0.042219,0.041038,108.43
19731031,0.000312,-0.001560,108.29
19731130,-0.107220,-0.113046,95.96
19731231,0.017971,0.016534,97.55
19740131,-0.008120,-0.009749,96.57
19740228,0.001992,-0.003695,96.22
19740329,-0.021818,-0.023154,93.98
19740430,-0.037649,-0.039359,90.31
19740531,-0.026896,-0.033127,87.28
19740628,-0.012816,-0.014583,86.00
19740731,-0.076698,-0.078500,79.31
19740830,-0.082177,-0.089737,72.15
19740930,-0.117511,-0.119578,63.54
19741031,0.168113,0.164814,73.90
19741129,-0.045688,-0.053816,69.97
19741231,-0.018021,-0.020305,68.56
19750131,0.123610,0.121698,76.98
19750228,0.067460,0.059497,81.59
19750331,0.024014,0.022122,83.36
19750430,0.049424,0.047293,87.30
19750530,0.051193,0.044794,91.15
19750630,0.046220,0.044342,95.19
19750731,-0.065504,-0.067553,88.75
19750829,-0.015663,-0.021731,86.88
19750930,-0.032250,-0.034226,83.87
19751031,0.064855,0.062135,89.04
19751128,0.030089,0.023996,91.24
19751231,-0.010485,-0.012296,90.19
19760130,0.120143,0.118545,100.86
19760227,-0.005756,-0.011620,99.71
19760331,0.032640,0.030786,102.77
19760430,-0.009610,-0.010699,101.64
19760528,-0.008116,-0.015026,100.18
19760630,0.043959,0.042158,104.28
19760730,-0.007202,-0.008454,103.44
19760831,0.001599,-0.004982,102.91
19760930,0.024421,0.022670,105.24
19761029,-0.020211,-0.021995,102.90
19761130,-0.001041,-0.008628,102.10
19761231,0.053775,0.052170,107.46
19770131,-0.049654,-0.051167,102.03
19770228,-0.015638,-0.022400,99.82
19770331,-0.012502,-0.014548,98.42
19770429,0.000641,-0.000503,98.44
19770531,-0.015064,-0.023541,96.12
19770630,0.047776,0.045705,100.48
19770729,-0.015453,-0.016589,98.85
19770831,-0.012310,-0.020221,96.77
19770930,-0.000825,-0.003084,96.53
19771031,-0.041984,-0.043869,92.34
19771130,0.036752,0.026953,94.83
19771230,0.005570,0.003637,95.10
19780131,-0.060643,-0.062611,89.25
19780228,-0.016260,-0.024938,87.04
19780331,0.026925,0.024356,89.21
19780428,0.088964,0.087593,96.83
19780531,0.013719,0.004436,97.24
19780630,-0.016578,-0.018953,95.53
19780731,0.056974,0.055121,100.68
19780831,0.033641,0.025563,103.29
19780929,-0.005163,-0.007483,102.54
19781031,-0.089570,-0.092269,93.15
19781130,0.026771,0.017400,94.70
19781229,0.016627,0.014264,96.11
19790131,0.042697,0.040161,99.93
19790228,-0.028649,-0.036958,96.28
19790330,0.057361,0.054825,101.59
19790430,0.004183,0.002218,101.76
19790531,-0.016818,-0.026303,99.08
19790629,0.040324,0.037792,102.91
19790731,0.012051,0.009737,103.81
19790831,0.061865,0.053222,109.32
19790928,0.001416,-0.000872,109.32
19791031,-0.065560,-0.068517,101.82
19791130,0.052777,0.043570,106.16
19791231,0.018340,0.015892,107.94
19800131,0.061308,0.058935,114.16
19800229,0.002611,-0.005574,113.66
19800331,-0.097518,-0.100096,102.09
19800430,0.042394,0.039877,106.29
19800530,0.055560,0.046651,111.24
19800630,0.029722,0.026895,114.24
19800731,0.068200,0.065630,121.67
19800829,0.013454,0.006030,122.38
19800930,0.027935,0.025155,125.46
19801031,0.017809,0.014742,127.47
19801128,0.109910,0.103015,140.52
19801231,-0.030634,-0.033006,135.76
19810130,-0.043370,-0.045036,129.55
19810227,0.021267,0.013492,131.27
19810331,0.038285,0.035426,136.00
19810430,-0.020211,-0.021967,132.81
19810529,0.006539,-0.001124,132.59
19810630,-0.008255,-0.011180,131.21
19810731,0.000714,-0.000946,130.92
19810831,-0.055540,-0.063659,122.79
19810930,-0.050466,-0.053500,116.18
19811030,0.052115,0.048694,121.89
19811130,0.043827,0.035918,126.35
19811231,-0.027059,-0.029745,122.55
19820129,-0.015367,-0.016874,120.40
19820226,-0.050441,-0.059588,113.11
19820331,-0.006805,-0.010463,111.96
19820430,0.041550,0.040063,116.44
19820528,-0.029505,-0.039834,111.88
19820630,-0.015779,-0.018934,109.61
19820730,-0.020199,-0.022058,107.09
19820831,0.127402,0.116647,119.51
19820930,0.010496,0.007717,120.42
19821029,0.113863,0.111235,133.71
19821130,0.045754,0.037554,138.54
19821231,0.016835,0.014676,140.64
19830131,0.035293,0.033317,145.30
19830228,0.025733,0.018539,148.06
19830331,0.035470,0.032459,152.96
19830429,0.075719,0.074655,164.42
19830531,-0.005687,-0.012100,162.39
19830630,0.036970,0.033719,168.11
19830729,-0.031238,-0.032321,162.56
19830831,0.015864,0.009484,164.40
19830930,0.014105,0.010838,166.07
19831031,-0.013108,-0.014695,163.55
19831130,0.023846,0.017363,166.40
19831230,-0.005749,-0.008699,164.93
19840131,-0.003898,-0.005657,163.41
19840229,-0.034034,-0.039505,157.06
19840330,0.017295,0.013714,159.18
19840430,0.006781,0.005229,160.05
19840531,-0.053131,-0.059544,150.55
19840629,0.022937,0.018709,153.18
19840731,-0.013765,-0.015641,150.66
19840831,0.112438,0.105753,166.68
19840928,-0.000064,-0.003292,166.10
19841031,0.003331,0.000216,166.09
19841130,-0.009841,-0.014950,163.58
19841231,0.025556,0.021843,167.24
19850131,0.076868,0.074737,179.63
19850228,0.014166,0.008886,181.19
19850329,-0.000636,-0.003980,180.66
19850430,-0.003704,-0.005413,179.83
19850531,0.062740,0.056847,189.55
19850628,0.016065,0.012925,191.85
19850731,-0.003321,-0.005235,190.92
19850830,-0.006473,-0.011871,188.63
19850930,-0.033248,-0.036197,182.08
19851031,0.045079,0.042653,189.82
19851129,0.071887,0.066630,202.17
19851231,0.048156,0.045156,211.28
19860131,0.004706,0.002962,211.78
19860228,0.076525,0.071556,226.92
19860331,0.055832,0.053320,238.90
19860430,-0.013348,-0.015054,235.52
19860530,0.055326,0.050804,247.35
19860630,0.015744,0.013310,250.84
19860731,-0.057541,-0.059378,236.12
19860829,0.074417,0.070076,252.93
19860930,-0.083243,-0.085664,231.32
19861031,0.056538,0.053813,243.98
19861128,0.024876,0.019717,249.22
19861231,-0.027513,-0.030174,242.17
19870130,0.135183,0.133724,274.08
19870227,0.041778,0.037845,284.20
19870331,0.026336,0.023832,291.70
19870430,-0.009045,-0.011093,288.36
